기준일,기준일_시트명,학원순서,학원명,올해_재학생,올해_N수,올해_총인원,올해_총인원_원본열,원본총원_차이,전년_재학생,전년_N수,전년_총인원,목표_재학생,목표_N수,목표_총인원,전년대비_재학생_증감,전년대비_N수_증감,전년대비_총원_증감,전년대비_총원_증감률,목표대비_재학생_차이,목표대비_N수_차이,목표대비_총원_차이,목표달성률_총원,원본파일,원본시트,원본행,추출_올해총원열,추출_목표열,추출_전년열
2026-04-15,4.15(수),8,분당,162,357,519,519,0,212,366,578,215,370,585,-50,-9,-59,-0.10207612456747404,-53,-13,-66,0.8871794871794871,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),20,L,Y/Z,AB/AC
2026-04-15,4.15(수),9,대구,164,452,616,616,0,178,450,628,213,425,638,-14,2,-12,-0.01910828025477707,-49,27,-22,0.9655172413793104,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),21,L,Y/Z,AB/AC
2026-04-15,4.15(수),10,대전,110,191,301,301,0,113,206,319,115,195,310,-3,-15,-18,-0.05642633228840126,-5,-4,-9,0.9709677419354839,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),22,L,Y/Z,AB/AC
2026-04-19,4.19(일),1,최상위권 전문관,0,752,752,752,0,0,548,548,0,610,610,0,204,204,0.3722627737226277,0,142,142,1.2327868852459016,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),12,L,Y/Z,AB/AC
2026-04-19,4.19(일),2,기숙 종합관,0,409,409,409,0,0,261,261,0,390,390,0,148,148,0.5670498084291188,0,19,19,1.0487179487179488,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),13,L,Y/Z,AB/AC
2026-04-19,4.19(일),3,여학생 전문관,0,322,322,421,-99,0,400,400,0,400,400,0,-78,-78,-0.195,0,-78,-78,0.805,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),14,L,Y/Z,AB/AC
2026-04-19,4.19(일),4,여학생 수학전문관,0,99,99,,,0,0,0,0,0,0,0,99,99,,0,99,99,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),15,L,Y/Z,AB/AC
2026-04-19,4.19(일),5,남학생 전문관,0,458,458,458,0,0,430,430,0,450,450,0,28,28,0.06511627906976744,0,8,8,1.0177777777777777,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),16,L,Y/Z,AB/AC
2026-04-19,4.19(일),6,강남,102,187,289,289,0,97,159,256,99,320,419,5,28,33,0.12890625,3,-133,-130,0.6897374701670644,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),18,L,Y/Z,AB/AC
2026-04-19,4.19(일),7,목동,82,283,365,365,0,86,324,410,87,333,420,-4,-41,-45,-0.10975609756097561,-5,-50,-55,0.8690476190476191,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),19,L,Y/Z,AB/AC
